case,theme,board_size,expected_outcome,http_status,exact_board,expected_error_matched,warning_free,response_stable,median_ms,p95_ms
app-191913--scale-125,dark,6,success,200,True,False,True,True,599.06,887.809
app-191913--jpeg-q65,dark,6,success,200,True,False,True,True,376.126,417.87
app-191913--blur-0.8,dark,6,success,200,True,False,True,True,325.507,466.675
app-191913--pad-40,dark,6,success,200,True,False,True,True,370.926,464.971
app-191913--crop-12,dark,6,success,200,True,False,True,True,316.26,371.296
app-191932,light,6,success,200,True,False,True,True,251.711,260.972
app-191932--scale-75,light,6,success,200,True,False,True,True,136.688,144.55
app-191932--scale-125,light,6,success,200,True,False,True,True,346.043,482.158
app-191932--jpeg-q65,light,6,success,200,True,False,True,True,281.787,345.825
app-191932--blur-0.8,light,6,success,200,True,False,True,True,260.033,328.221
app-191932--pad-40,light,6,success,200,True,False,True,True,313.025,376.635
app-191932--crop-12,light,6,success,200,True,False,True,True,201.002,279.086
app-191920,dark,7,success,200,True,False,True,True,314.532,336.907
app-191920--scale-75,dark,7,success,200,True,False,True,True,157.003,167.208
app-191920--scale-125,dark,7,success,200,True,False,True,True,468.578,498.313
app-191920--jpeg-q65,dark,7,success,200,True,False,True,True,292.235,343.656
app-191920--blur-0.8,dark,7,success,200,True,False,True,True,275.791,299.307
app-191920--pad-40,dark,7,success,200,True,False,True,True,373.697,382.19
app-191920--crop-12,dark,7,success,200,True,False,True,True,279.144,294.053
app-191940,light,7,success,200,True,False,True,True,218.384,257.825
app-191940--scale-75,light,7,success,200,True,False,True,True,120.164,135.644
app-191940--scale-125,light,7,success,200,True,False,True,True,314.362,323.349
app-191940--jpeg-q65,light,7,success,200,True,False,True,True,276.207,319.012
app-191940--blur-0.8,light,7,success,200,True,False,True,True,224.782,240.458
app-191940--pad-40,light,7,success,200,True,False,True,True,294.114,376.28
app-191940--crop-12,light,7,success,200,True,False,True,True,219.523,250.122
app-191951,light,8,success,200,True,False,True,True,226.146,247.887
app-191951--scale-75,light,8,success,200,True,False,True,True,133.854,195.957
app-191951--scale-125,light,8,success,200,True,False,True,True,355.502,485.472
app-191951--jpeg-q65,light,8,success,200,True,False,True,True,332.467,367.321
app-191951--blur-0.8,light,8,success,200,True,False,True,True,229.37,253.432
app-191951--pad-40,light,8,success,200,True,False,True,True,291.212,374.954
app-191951--crop-12,light,8,success,200,True,False,True,True,204.371,233.599
app-191959,dark,8,success,200,True,False,True,True,365.08,515.179
app-191959--scale-75,dark,8,success,200,True,False,True,True,192.291,241.231
app-191959--scale-125,dark,8,success,200,True,False,True,True,598.885,740.05
app-191959--jpeg-q65,dark,8,success,200,True,False,True,True,356.216,382.998
app-191959--blur-0.8,dark,8,success,200,True,False,True,True,346.348,361.254
app-191959--pad-40,dark,8,success,200,True,False,True,True,396.158,427.51
app-191959--crop-12,dark,8,success,200,True,False,True,True,301.219,315.556
app-192013,dark,6,success,200,True,False,True,True,325.958,342.733
app-192013--scale-75,dark,6,success,200,True,False,True,True,135.383,190.212
app-192013--scale-125,dark,6,success,200,True,False,True,True,391.929,444.299
app-192013--jpeg-q65,dark,6,success,200,True,False,True,True,347.998,436.545
app-192013--blur-0.8,dark,6,success,200,True,False,True,True,348.294,508.042
app-192013--pad-40,dark,6,success,200,True,False,True,True,321.96,412.685
app-192013--crop-12,dark,6,success,200,True,False,True,True,306.64,409.737
app-192018,light,6,success,200,True,False,True,True,232.133,266.873
app-192018--scale-75,light,6,success,200,True,False,True,True,153.486,226.314
app-192018--scale-125,light,6,success,200,True,False,True,True,357.816,396.869
app-192018--jpeg-q65,light,6,success,200,True,False,True,True,281.662,298.507
app-192018--blur-0.8,light,6,success,200,True,False,True,True,266.156,423.169
app-192018--pad-40,light,6,success,200,True,False,True,True,331.726,458.823
app-192018--crop-12,light,6,success,200,True,False,True,True,276.28,406.386
app-192102,light,6,success,200,True,False,True,True,337.244,619.689
app-192102--scale-75,light,6,success,200,True,False,True,True,146.833,230.399
app-192102--scale-125,light,6,success,200,True,False,True,True,504.203,594.422
app-192102--jpeg-q65,light,6,success,200,True,False,True,True,282.22,318.141
app-192102--blur-0.8,light,6,success,200,True,False,True,True,256.457,285.091
app-192102--pad-40,light,6,success,200,True,False,True,True,345.846,417.751
app-192102--crop-12,light,6,success,200,True,False,True,True,298.33,385.25
app-192108,dark,6,success,200,True,False,True,True,435.794,603.323
app-192108--scale-75,dark,6,success,200,True,False,True,True,170.065,245.811
app-192108--scale-125,dark,6,success,200,True,False,True,True,484.454,512.949
app-192108--jpeg-q65,dark,6,success,200,True,False,True,True,353.822,506.477
app-192108--blur-0.8,dark,6,success,200,True,False,True,True,354.436,445.395
app-192108--pad-40,dark,6,success,200,True,False,True,True,399.022,421.069
app-192108--crop-12,dark,6,success,200,True,False,True,True,349.793,402.935
app-192159,dark,7,success,200,True,False,True,True,189.577,226.026
app-192159--scale-75,dark,7,success,200,True,False,True,True,110.67,121.666
app-192159--scale-125,dark,7,success,200,True,False,True,True,300.629,318.516
app-192159--jpeg-q65,dark,7,success,200,True,False,True,True,219.494,282.935
app-192159--blur-0.8,dark,7,success,200,True,False,True,True,196.414,265.467
app-192159--pad-40,dark,7,success,200,True,False,True,True,239.762,315.016
app-192159--crop-12,dark,7,success,200,True,False,True,True,175.941,228.967
app-192206,light,7,success,200,True,False,True,True,172.57,222.451
app-192206--scale-75,light,7,success,200,True,False,True,True,110.143,160.43
app-192206--scale-125,light,7,success,200,True,False,True,True,235.708,296.08
app-192206--jpeg-q65,light,7,success,200,True,False,True,True,187.452,246.597
